DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
4885,20134147.58930,20019517.97180,19961751.58310,20323940.00850,21292699.84010,20920995.16880,22644069.10750,21746402.80120,22096203.26770,23481539.53410,22156781.91470,21931155.83100,20756785.52230,19920312.25290,20965707.13940,20217896.31550,21152476.46060,19940174.83660,21584352.86120,20278486.57900,20339961.69710,21553224.99480,18936301.35130,19616743.97610,20942393.66780,18215984.53650,20077651.36810,21500021.14950,20083287.59800,19264691.70700,21330867.31550,20262123.28790,20304996.54970,22779408.06090,22250518.31260,23406174.73070,25154011.54530,24250544.86010,26816858.57140,26168421.79440,26652026.29220,27812387.35990,28005207.34590,27450772.00610,27690555.32760,30588811.08900,28872680.12080,27765590.48010,26385742.32490,25782447.36130,28571731.21110,26520667.19470,25851820.26490,27217004.80860,29069970.56730,32803268.86260,26645064.34920,27676912.19820,24055043.24990,23035862.25610,24605636.28200,25107076.41250,27743317.20570,22396648.84900,23939056.33030,24511525.92430,23824417.14590,23517169.09470,23617526.89470,24764962.33200,24210967.47290,22885209.68270,25843479.79260,22020300.25400,24423108.16800,27454134.41230
4921,2373913.30000,2349869.40000,2569998.20000,2698320.10000,2962210.90000,2904506.80000,2582618.20000,2673218.10000,2528402.30000,2880160.40000,2813848.90000,2647103.60000,2490004.70000,2456736.30000,2684210.90000,2625557.20000,2701261.00000,2796769.10000,2805578.60000,2749995.10000,2637922.80000,2928978.80000,3027379.00000,2764985.00000,2638442.00000,2586398.30000,2899470.50000,2381767.90000,2670255.70000,3068813.80000,3249473.10000,3120684.60000,3201024.80000,3351236.70000,3319516.30000,3619492.10000,3222539.60000,3204761.30000,3810159.90000,3553639.30000,3481325.30000,3825795.30000,3566975.60000,3528015.00000,3673449.70000,4172721.90000,4582581.80000,4524346.70000,3960626.00000,4058160.00000,5090952.00000,4341605.60000,4700430.00000,4673375.70000,4151784.50000,4466292.30000,4379304.00000,4604503.00000,4950196.00000,4970703.00000,4931247.00000,4672912.00000,5158285.00000,4460501.00000,5184568.00000,5248324.00000,4603424.00000,4718749.00000,4798194.00000,5119443.00000,5383281.00000,5051199.00000,5261165.00000,4981049.50000,4832636.00000,5385299.00000
4931,2547798.56100,2599749.58060,2608450.43600,2674371.76080,2796442.65640,2764856.39710,2803933.01890,2879823.79340,2732646.38580,2740428.32950,2936141.18290,2754120.61560,2295075.87650,2361722.48960,2492400.27250,2503970.88730,2624267.85950,2543620.63770,2634137.15020,2663620.25800,2554881.86830,2825615.04710,2967292.20620,2808043.32200,2720805.65400,2636898.71630,3024112.56400,2830333.96230,2836179.23730,2798531.92960,2831732.98460,2889360.65950,2925983.95410,2933821.65340,2998872.24530,3026240.66380,2785585.35510,2831438.03920,3196377.31970,2939109.46060,3153445.23080,3173379.98440,3066350.48210,3351671.11590,3302618.27680,3419128.48650,3512000.04480,3449453.57030,3186777.34090,3427202.15630,4040334.95530,3323407.82060,3671932.29240,3437098.11780,3574307.45040,3691651.49580,3656172.76680,3538239.77750,3701208.74220,3417683.90010,3246643.96280,3408517.05070,3699812.37770,3411204.23190,2979970.29140,3129504.05190,3384964.53840,3634895.22240,5720246.20610,3197945.18070,3356928.11420,3336776.98870,3707299.17330,3850859.31580,3610476.95740,4124484.01870
51,42136540.30800,40383923.49490,42641337.25820,43997638.19850,49679209.73400,47152937.68430,48547582.92940,47717596.01630,43490575.24460,44899841.84870,46675222.38110,52514212.24590,45023630.34530,39093837.68130,43896550.88430,44081182.17820,44603919.47400,45539133.68620,51096780.09750,48404655.42050,46528564.87120,46742898.33270,47398816.75050,50282579.00330,42728496.14560,40136591.53570,47188598.72700,39402298.14250,41441021.56150,40822566.55000,42891745.11890,41145701.90060,44774956.46470,41930951.67750,46006252.82000,54278690.97920,39215969.99080,40358448.78410,40290535.73400,41642182.31680,43052975.15180,45351546.76130,45409080.50870,42585573.19920,46189078.17550,45102744.03890,51780353.32480,50605885.36400,51361817.86280,48152556.01610,52869002.63840,52848829.00580,55832566.33340,56720420.99940,55356937.74990,54841843.48060,55017148.79980,56943168.79720,58282239.05850,62653779.89240,54025315.82010,53327768.89970,56319381.13850,60993453.06520,60138728.93300,58937863.80590,58809896.03370,58084334.18120,58649419.15690,58850013.66140,59514618.70730,62135613.57550,56663981.15020,56263125.25310,58772729.75220,57549126.26710
5111,2049820.00940,1962272.79190,2168392.26300,2249742.62500,2989988.98520,3382178.29500,3211370.82730,2855894.40340,2582462.59550,2582424.60870,2648520.46320,2958922.45410,1971025.34880,1717944.36420,1917158.31820,2078272.04630,2325563.55550,2933868.96810,3229377.94500,3026984.19530,2492933.50190,2291904.97920,2348579.37700,2716575.32460,1747964.17510,1791848.04130,1742574.04190,1277199.09740,1439791.35370,2284213.62320,2313657.11770,1825026.94130,1736472.75120,1753075.25710,1945207.47320,2175667.96810,1350127.34700,1282283.64500,1407524.36240,1577619.17120,1768793.60270,2277352.42510,2343069.96300,2042874.59190,2121745.02620,1856703.17380,2025185.02480,2494686.94330,1535309.94200,1405410.65170,1563364.12980,1635591.32930,2275164.10750,2849071.01520,2499275.15940,2234686.94100,2185625.90150,1993819.63040,2094283.78250,2591811.37090,1534216.79130,1662141.73540,1596433.85250,1641678.05150,2120535.78650,2420868.18260,2645352.13580,2519918.19070,2267189.26720,1907514.89970,2088706.17930,2445227.95000,1562165.63090,1462015.32910,1519540.27640,1629515.09450
5121,7193099.66710,6429132.83650,6771106.26280,8259258.14630,10086975.48020,10238152.75010,10260153.20740,9437613.11960,6382127.06770,6841478.19670,7184504.05600,8450609.63040,7298700.98940,5334434.60770,6291953.72780,9307640.09620,7904880.00280,9450452.97300,10873907.61420,7416905.68080,6405798.67580,7533764.22310,6383080.88380,6757829.73050,5024365.30780,5087598.04960,3184948.16150,1526848.58640,1164132.47930,1416685.32510,1337929.42710,1283559.78680,3004296.20650,2055841.90120,2383548.46530,3438452.03010,1028354.63950,976851.64520,1873309.20600,2187634.99000,2114760.89100,3326106.09880,3083261.42390,1662359.60720,2875633.49710,2578554.99220,2372005.82210,4036074.83270,2800690.17290,2166076.32160,3061383.87670,3479171.43570,4456131.10020,6118938.37300,4753740.05160,2942131.15430,3331907.85960,2988917.74300,3513496.93690,5017900.82940,3084180.17690,3151688.61190,3322325.99690,9149606.24340,5733303.59070,5608917.25990,4899842.82660,3601054.13110,3181166.74390,3411267.17640,2994427.26670,3744540.32510,2696018.46300,2610531.28980,3919687.28270,4319185.49310
5151,1946633.75560,1929277.43970,3041953.42300,2585197.03370,2763674.50620,2313445.42990,3422841.73640,3585583.91960,3707009.67400,3335749.47890,3656023.41090,4908220.67840,2191776.73730,2189835.98990,3612085.13170,2502949.10950,2526853.01410,2102085.62900,2681911.62530,2778009.73720,2893443.30640,2614926.68160,3342648.71710,4847241.03030,2051433.42290,2166884.81220,2228611.07330,1974342.66850,2105123.88750,2120938.40800,2120404.61270,2196197.99980,2280085.96760,2516293.05440,3254907.13940,4448496.89960,2170870.93900,2503821.60300,1163114.19540,2117588.69710,2312761.75750,2330500.58580,2813378.89500,2529528.03440,2266906.49480,2808140.81380,2675557.60320,2815200.11620,3305841.38050,2524432.83190,2469713.44880,2574663.77550,2819167.68880,2479831.45720,2597160.57860,2807460.79700,3374031.62120,3014411.09240,4008282.35020,3652142.95560,1919942.06560,2551815.85640,2767384.33500,2400686.59520,3108776.71770,3032402.55970,2849097.58490,2922235.70630,4084721.81000,3454689.43720,3689337.88860,3094639.80450,2163574.73050,2462977.80220,3120903.69390,2559553.94940
5173,29688046.36850,28926996.68610,29431251.66320,29695836.75240,32409654.01890,29826356.00290,30300852.95040,30653417.40100,29615942.23320,30933775.44900,31874460.32320,34845279.27300,32283426.21140,28761853.99600,30815080.73040,29019471.15250,30429996.68000,29874141.16920,32993973.15700,33998107.46220,33496349.74520,33093702.66600,34028773.00740,34715767.12090,32618361.27260,29995089.98080,38720340.23800,32496393.56240,35458746.28130,33807465.82180,35937739.89520,34681140.53180,36546327.68240,34465444.43880,37233180.42400,42823939.90560,33399106.11340,34599325.41430,34498050.03560,34653973.46440,35245373.92760,36209488.93500,35789349.20420,35149805.43360,37721457.70750,36462521.47640,43424518.96440,39650206.42250,42486295.08320,41006334.69210,44359756.17140,44181962.08800,44864723.28080,44070861.21900,44048437.79140,45727817.90000,44944389.94920,47711749.84520,47428317.22680,49966497.00000,46244966.25200,44723551.50000,47194225.52410,46464480.09250,47646917.72400,46469873.42450,47149844.73580,47795917.80800,47700264.32480,48835780.26880,49112615.74540,51054442.75470,48913432.04890,48338976.74200,48945007.89600,47934036.86410
5182,1258940.50740,1136243.74070,1228633.64620,1207603.64110,1428916.74350,1392805.20640,1352364.20790,1185087.17270,1203033.67420,1206414.11540,1311714.12780,1351180.21000,1278701.05840,1089768.72350,1260272.97620,1172849.77370,1416626.22160,1178584.94690,1317609.75600,1184648.34500,1240039.64190,1208599.78280,1295734.76520,1245165.79700,1286371.96720,1095170.65180,1312125.21230,2127514.22780,1273227.55970,1193263.37190,1182014.06620,1159776.64090,1207773.85700,1140297.02600,1189409.31810,1392134.17580,1267510.95190,996166.47660,1348537.93460,1105365.99410,1611284.97300,1208098.71660,1380021.02260,1201005.53210,1203335.44990,1396823.58270,1283085.91030,1609717.04930,1233681.28420,1050301.51880,1414785.01170,977440.37730,1417380.15610,1201718.93500,1458324.16890,1129746.68830,1181193.46830,1234270.48620,1237858.76210,1425427.73650,1242010.53430,1238571.19600,1439011.43000,1337002.08260,1529195.11410,1405802.37920,1265758.75060,1245208.34510,1416077.01100,1240761.87930,1629531.62730,1796762.74120,1328790.27690,1388624.09000,1267590.60320,1106834.86600
53,28602673.17310,26857036.55050,27670809.38000,27405823.24990,25087611.31560,24583546.04730,25208606.35800,25330700.36710,24085168.17770,24925943.63100,23419171.83480,25114704.41260,27824195.36580,26629713.28790,25184829.28630,24461458.20480,24204383.84400,27413403.81920,27351636.77130,25378978.52110,26457853.84400,24142119.63810,25023206.06600,27023072.16230,26774335.83490,27635557.99620,28893103.37010,22148797.66320,21702802.22670,20286066.76110,22242503.35350,24285091.30420,23861365.66120,22654189.23840,25093351.75940,24736861.99670,30095868.76660,31803883.12160,30299840.15180,29131742.52620,27434438.52730,27846464.94300,30406204.35030,30744488.17190,30629720.83790,29593614.22560,26672999.00060,27158950.50190,28525412.20560,27063412.52750,29435941.59490,28667145.30540,29360027.37880,31010787.94560,31808581.27180,31877404.19600,31652878.36400,33004118.68040,33724378.63180,36419905.85270,34152230.70960,33047702.89130,34894549.54510,34631490.42420,35555159.71790,36726103.15510,35048580.42880,34283341.11150,34945665.08530,36657327.34120,36993206.14100,41610763.06480,35794586.44680,35726239.83280,38215773.63520,38203474.62730
5311,2717792.39030,2998361.29460,3051665.28480,3288139.02450,3037525.06570,3136094.26290,3342918.06610,3167444.97630,2943184.13240,3149053.15630,2980929.57750,3154209.83230,2933334.05590,2846426.89300,3115858.50970,3054756.97060,2923697.18600,2946565.06590,2986903.42760,2890808.93420,2948460.93040,2991191.77330,3329580.28970,3232754.66620,2954532.56880,3107733.39150,3270952.72680,2589525.41330,2638487.99220,2783276.33130,3059890.98770,3215541.59580,3123420.19870,3303525.29760,3516614.57590,3725202.75920,3527973.63310,3593796.55910,3654959.22710,3670992.67410,3859758.58260,4131683.71040,3956110.25710,4182785.87880,4444893.06330,4407872.19730,4436686.84280,4832925.90080,4102494.74120,4206195.01970,4619722.51880,4539679.33490,4590256.46930,4805371.89160,4906329.03390,5009801.25750,4888966.55930,5258675.18200,5569364.87280,5905054.98810,5298531.71150,5071523.91840,4897740.92210,5002859.82170,5342287.91240,5480736.59980,5277455.25400,5468134.75070,5909856.13060,5952471.26240,6146253.93030,6998286.08010,5360535.43830,5407187.81170,5582342.56580,6009770.40650
5312,5100726.95530,5608752.90390,5829226.80010,6118595.51520,5992219.38190,5977968.25150,6107334.85550,5865429.19640,5067553.55240,5495214.47060,5230687.82650,6188539.02020,5395330.86910,5204337.82930,5965784.28500,5629671.23530,5662327.22890,5857748.00970,5676099.22720,5494917.67660,5761168.91950,5496218.36080,6123970.01910,5883868.30610,5585100.78940,5947374.86580,6423312.11050,4954984.70710,5344173.26200,5359139.39880,5988261.96010,6711090.02310,6497439.25620,6803451.84850,7668692.30490,6465228.32180,6437780.84420,7065261.89100,7343512.17770,7371194.62490,7863629.82420,7813647.72660,7645181.59260,8459961.60970,8953824.47530,9005757.99900,8114233.23100,7724475.46260,8751477.97840,8989462.78460,9596648.80910,9228233.81320,9404723.72460,10161201.45990,10221721.61210,9720563.06950,10442318.01010,10794920.03390,11176790.84400,12437091.78340,10144247.47470,10298808.84080,11177677.69770,10840033.99300,11226674.59230,12286029.94670,11541030.68100,11060914.58720,11165653.14160,12322536.95010,11489639.94930,14884766.96890,10471008.27550,9708135.29310,10905194.72410,10258158.42330
5313,2451371.19640,2727619.87390,2799502.33560,3032865.80730,2827216.10480,2892037.55910,3117919.81460,2964105.98870,2631993.95050,2835843.92080,2662510.34340,2809268.32960,2654635.35210,2590278.62000,2853997.76510,2813660.18770,2662868.44800,2688215.92680,2748249.62130,2632680.67670,2626843.19060,2696639.00000,3015513.75700,2908134.04720,2652898.27640,2868976.89380,3086050.28650,2451974.70350,2475701.89810,2664977.13720,2969026.19600,3094106.02190,2940235.35080,3151415.08710,3370788.54190,3535695.15210,3406367.60580,3528680.05830,3559896.48880,3423789.22040,3570111.80170,3919891.11650,3759310.82190,3971131.01460,4178111.43200,4255815.60510,3608428.08990,4045021.82370,3774036.83310,3865683.33710,4466191.46840,4317032.37470,4145832.04250,4501484.30630,4725174.29920,5295992.69960,4885196.40820,5021462.91310,5087521.80980,5720576.75000,5365097.30640,5343430.94890,5779510.98010,5349486.51100,5202271.62890,5109005.66880,5182211.50190,5082224.38670,5119998.86200,5125594.25220,5256493.91760,5781057.86760,6320121.29920,6847930.54780,6966789.59710,6685028.08500
5321,3657737.04560,3293012.19660,3490088.62070,3600783.72770,3553749.95510,3528789.28340,3606348.10320,3561730.51600,3420841.86210,3450988.60520,3506808.96830,3862387.80410,4342711.29390,3788199.27040,4028450.95150,3964510.44370,3839171.78520,3793323.55570,4206959.17110,3653844.11470,3490274.34930,3520074.52400,3652354.49390,4035850.63420,4092058.10810,3687455.16340,3371865.99660,2420351.22480,2367334.00050,2392356.60150,2501485.07420,3052227.09420,3023808.85030,3397208.23850,3636609.25970,3703083.48780,4681677.63550,4131184.78460,4350418.64360,4444461.60850,4561091.91670,4532397.57560,4632616.10350,4357975.64640,3772961.18250,4013269.14900,4140346.62500,4711196.35620,4716487.89990,4252579.60680,4588327.66500,4363389.68150,4780122.24400,4682007.87180,5008533.02290,4911261.36130,4553452.16820,4721110.27570,4988939.94900,5105636.86600,6332959.75050,6171102.74430,6494099.51290,6193609.34210,6252941.73070,6122065.97200,5699102.88340,5809422.71330,5361050.96310,5546394.42260,5761697.93070,6504187.24550,6534391.35060,7210150.07910,7428016.20630,6903689.92560
