DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024
4881,95.88078469,73.86841923,98.78817761,92.23250221,98.25162586,103.9581111,123.0961523,105.0449021,82.99206275,97.740115,107.5272558,120.6198913,98.02414644,78.41608486,86.46348816,96.64012238,93.83262968,101.6611596,127.3168048,109.0507869,84.13447444,86.47873286,100.2450512,120.2029864,101.8097753,74.09480901,63.38941411,42.96853708,43.12446639,44.24548471,32.05373662,34.54151796,39.2130207,44.99274343,50.7431862,61.23822397,47.6860181,32.96052052,47.54704394,55.54413653,69.14429968,78.639927,98.8879944,78.16370555,62.50417601,71.02474708,96.70176871,124.4276422,84.88092804,85.41182512,89.3480342,107.8500196,99.16841745,111.1381918,123.1280622,115.559283,112.438287,105.9420839,108.3179737,116.0749008,106.7476339,103.9796654,105.6770263,112.7372783,119.4962153,112.1982744,107.7216247,106.8541538,106.8826699,104.0217606,109.5973301,139.817283,124.3059547,119.6059415
4883,115.0784192,91.21005935,97.37367734,88.26814513,107.0979224,93.47873422,100.086529,96.34752488,91.11946359,101.9572354,98.19019026,119.7920992,111.8765525,102.2848525,100.8455435,98.14852394,102.5010316,98.06173116,97.72961031,96.89075207,94.30550593,93.59214187,90.52144256,130.8610206,93.12537049,86.80532552,91.78743358,94.7360906,77.2343226,80.66751292,69.03821297,74.85286417,76.8475883,91.66782413,107.0463869,99.47568729,94.30799559,85.6513594,92.01600174,87.39011798,92.76751466,98.7005525,116.3980252,110.9774604,133.901366,118.9804697,128.3733522,162.4887124,135.998033,127.315969,140.062735,130.75238,125.2625978,139.0480812,143.0380664,157.9401358,153.3550554,146.7634221,129.400237,142.7865672,150.8375474,132.9610327,131.4847928,134.051849,149.0505558,146.6857086,149.7240752,155.1563307,147.2294703,147.0041428,152.5669059,157.8494872,151.3311314,163.7097849
4884,99.53183506,84.18339221,103.3486743,98.08151217,97.3090921,96.18366789,117.582769,103.7610575,88.70053583,93.16372715,97.28787721,120.8658596,97.2519855,80.60959171,92.47665065,102.3172626,96.35875963,95.88481149,110.9894738,101.4850409,86.02538763,88.67600856,89.11771406,113.8339331,90.40002132,76.52632648,72.25942097,63.85001453,33.27996756,37.80055557,43.5832538,45.54353327,45.99577448,46.97881768,46.88545077,57.25814654,45.17845784,40.7478377,43.82683506,45.08744806,47.06845359,56.43961732,62.64493885,58.38425231,51.45163201,57.26930777,60.06345965,79.85201291,68.32711069,55.02879363,76.06707225,74.75975715,78.37307751,77.69952104,79.20444277,100.5926968,81.21871801,81.1121777,86.4006632,81.20353292,80.07997186,77.25790074,85.42646321,77.83405503,85.41883506,83.57212179,85.748192,81.76348225,92.92867842,92.44550772,90.74246938,96.22811929,96.85123131,95.07483474
4885,96.3194786,94.07952739,93.71785465,95.70139626,99.31398555,97.08803242,105.5356796,101.7125649,103.1760373,109.7552877,102.4441251,101.1560305,95.48966759,90.53852705,94.31891003,90.6987603,94.33752817,88.95231507,93.70239876,87.52852073,87.50280699,92.79603697,81.5119842,84.27243088,90.35383611,78.75665627,84.01856681,88.08741196,82.36700504,79.99395191,88.11449931,83.32625071,83.79724339,93.86827461,92.31200384,97.57826955,105.0137043,100.6812862,110.4466309,107.8600445,109.9048804,114.4953405,115.4542534,113.033172,113.8682438,124.9537238,115.7912484,110.6568685,105.3404826,102.6176837,113.2001892,105.2958091,101.4194359,105.9632004,112.7276596,127.6109995,103.8977113,107.7955596,94.18774012,90.063994,96.81426885,99.41749142,109.550732,89.02509057,95.25059893,97.72734823,95.5149002,93.99295788,93.65633262,96.89488397,94.34531884,89.53113513,101.0258608,85.76404795
4921,91.4591616,89.16473428,97.4225961,102.1794986,110.8205785,107.5876149,96.81747735,100.5983527,94.89135521,107.6694342,103.8124448,97.57675165,90.74970688,88.44210392,96.73607021,94.80154006,97.50446242,100.7499091,101.2843555,98.79408502,94.69795214,105.3862228,108.9045697,99.37369992,93.58327338,90.54615534,98.76990628,79.80292537,89.90208435,103.7681007,110.2204033,105.9031916,108.5332833,112.2663757,112.2160503,122.4616746,106.4731081,104.4823051,123.2500183,115.4847609,112.3353692,123.5602448,115.3735858,113.8812128,118.2211138,134.0110374,147.133688,143.5992175,123.23053,123.0446563,150.2048741,127.8499232,140.0952889,139.123157,123.9323166,134.1708829,131.6871093,138.1554995,148.5706688,149.5356479,145.2184505,135.1645135,149.2258347,128.5684005,149.5416323,151.1374273,133.0649745,136.4328089,139.0656468,147.7701746,155.1320174,145.6844703,147.3350732,138.6019102
4931,95.04215353,96.48293278,96.21131954,98.89087065,102.6716078,100.9637819,101.8641945,104.9105781,99.39830276,99.50608126,105.3035364,98.75464073,82.66788557,84.94392563,89.03077633,88.8988348,92.5399652,89.45142987,93.2341534,94.07262548,89.66286703,99.23602148,104.281727,98.71040022,94.72001381,91.29046745,103.2595862,95.54427937,95.30923733,94.38449296,95.15180905,97.52854086,99.10587508,99.45436584,101.842391,103.066105,94.01204504,95.21407633,106.783504,98.30289629,105.2589598,105.8787428,101.8989921,111.2185071,109.6009944,113.2287497,113.589681,110.1159062,99.71646498,104.85398,123.330698,101.106829,111.1723619,104.1376266,107.7842254,111.2303777,109.5192296,105.9758428,111.1358166,102.5891732,96.61182721,100.6404262,108.511153,99.89779939,87.33409012,91.74888929,99.37517386,106.0350254,166.6622109,92.42566816,96.42086393,96.00032792,104.3938679,107.9625893
51,92.9377437,89.45703099,94.74571904,95.82900237,106.5493302,99.54481634,103.5440925,102.8736809,96.53769433,99.18941317,102.9897812,115.8016951,98.65750441,87.05963678,97.68649334,93.62582997,96.18253633,95.75659467,106.8636681,105.2869475,102.4157275,101.6056149,104.7205465,111.3899682,95.16770719,88.84096602,108.3369062,91.12634832,97.11111413,94.48478488,99.65800721,96.00882029,102.4397875,96.84955984,106.1594782,124.6674217,91.56778627,94.67735599,92.57912568,95.5677843,98.32969284,102.0562277,102.3388262,97.78059274,104.5690115,102.4724915,118.6431878,112.6561275,117.425747,110.7111933,120.2781783,119.838331,124.5999887,123.7958461,122.5645688,124.5354123,126.4922664,134.1497047,136.4850327,144.3914964,127.6056839,125.5747575,132.6427466,135.4943039,137.5118933,134.8431088,135.5170917,135.8242923,137.6357346,138.4787468,140.5413596,145.2467341,134.4422189,133.4574833
5111,79.10895687,75.40366928,82.82358877,85.49366962,113.5566342,128.3075525,121.7965074,108.1841568,97.60918029,97.38619853,99.35726698,110.9726187,74.36428974,64.1500967,71.82506276,77.69662397,86.88238398,109.5349709,120.2293649,112.5167363,92.53392794,84.79678408,86.59600242,100.0805315,64.0702759,65.48872576,63.16542525,46.64392522,52.68964112,82.97765257,83.97075969,66.15990674,62.98634744,63.5929163,70.57787635,78.84266451,48.78637503,46.25028527,50.62532561,56.70950305,63.39838798,81.23031307,83.35763942,72.58598276,75.33110437,65.84767822,71.67050795,88.24471427,53.68002385,48.79335715,54.14202644,56.50617324,78.44346634,97.71629466,85.8260597,76.54414496,74.58041957,67.93072137,71.33058922,88.0576361,51.59664349,55.61798096,53.11014602,54.60043548,70.27373979,79.69878246,86.99902638,82.62570321,74.27219881,62.34514684,68.23940476,79.86083123,50.59306427,47.19251348
5121,89.47609879,79.87961684,84.15283534,102.3929179,124.737678,126.3895764,126.3640931,115.8172144,78.08130958,83.55190251,87.25418431,101.9025728,86.71973032,63.50574069,74.50037741,109.7688764,92.63414191,110.3429692,124.6848169,85.95689423,74.20993463,87.30739044,73.65100679,77.78040503,56.91655783,57.34414476,35.87501844,17.21078347,13.12169436,15.98774802,15.07950759,14.52154528,33.61655194,22.97234466,26.80644163,38.40821244,11.45172027,10.84488771,20.45729671,23.77536099,23.09042757,36.06497194,33.05410012,17.85631017,31.08322515,27.51465052,25.09075376,42.33623774,29.65360525,23.01858123,32.31195588,36.35990038,46.21113216,62.47543037,48.62882063,30.74716232,35.40298673,31.59018349,36.97228496,52.49549547,31.79856183,32.90884927,34.58209081,93.61835533,58.15594164,55.90657341,48.86626629,36.0027262,31.9788934,34.1934931,29.84055713,36.97498585,26.39282751,25.71275328
5151,64.4137485,63.72308781,100.313576,83.74427431,89.52147888,74.91854252,110.4035323,115.6527706,118.4634928,106.2011281,116.3800634,156.2643047,68.82522585,68.55912901,112.9733423,77.18019219,77.91728586,64.81236265,82.34966128,85.30040987,88.2674753,79.77103812,101.608554,147.2408673,61.32253961,64.73196474,66.54465097,58.31114629,62.14559066,62.55436448,62.5811017,64.8113692,66.63056082,73.52592851,94.79198267,129.64797,62.4598985,72.02106952,33.45971473,60.56995906,65.96239616,66.46731424,80.01583197,71.97053531,64.16892634,79.25929911,75.51716044,79.45854673,91.5983269,69.93718116,68.40095607,70.45554002,77.13819256,67.85325939,70.76837655,76.48812887,91.22446019,81.17852019,107.9436148,98.3675383,51.6206739,67.93390731,73.30416778,63.35576185,81.33271994,79.32342045,74.31141712,76.09695406,105.8901618,89.30889808,95.37491212,79.85169502,54.93505545,62.49249837
5173,97.16959152,94.38693283,95.92333181,96.90885513,105.7396021,97.34737337,98.83931605,99.71465829,96.2802666,100.6109401,103.6800389,113.3990933,104.9256873,93.47942477,100.1341134,94.40055404,98.90892462,97.05437519,107.017712,110.202267,108.4146233,107.1267021,110.1201957,112.4678851,105.4304295,96.95743398,124.9883833,104.6309602,114.1903759,108.9412519,115.8898263,111.7884727,117.696355,110.9655891,119.8418274,137.8779721,107.19385,110.9976976,110.5841269,111.1311697,112.805071,116.0342984,114.706402,112.484519,120.5736367,116.5190899,138.7612987,126.6672437,135.6633027,130.8086038,141.4521634,140.9010425,143.1762082,140.6327188,140.512785,145.8566799,146.0988514,158.1372947,157.1987115,165.6125316,153.7261988,148.7728198,156.9872869,154.5494784,158.4278511,155.2122876,157.5270358,159.6215095,159.0625142,162.8316969,164.289363,170.518115,162.9322142,160.8639961
5182,102.2501053,90.61853104,98.28049982,96.75659868,112.085717,108.7326706,106.3122098,93.75953151,95.14133082,93.36069951,99.86685609,102.8352498,98.28364056,83.87271571,96.91385343,90.39163639,108.139796,89.78855675,100.5751321,90.08574257,94.18489247,91.98828819,98.73524784,94.92388461,100.6122283,85.69849821,100.3679957,159.6332765,95.82197332,90.89388457,89.76961756,88.30534618,92.40152025,86.77083076,90.28604738,106.1684818,96.60349059,75.58633644,101.5680019,83.67719653,121.3782146,90.94383967,103.8102009,90.35146144,90.54013866,104.7441051,92.44936985,115.6726955,88.72796368,75.49067972,101.5556535,70.49701893,101.2499746,85.87998883,102.8860545,79.86733119,83.59653895,87.33892572,87.62423597,100.8510847,88.2275554,87.91101749,102.3815148,95.47580227,109.3840923,100.4185934,90.38151876,88.8918232,101.1048573,88.09631316,116.1083175,128.3385959,94.91719615,99.16215942
53,100.385049,101.9470482,104.4631972,107.7967162,100.6209189,99.08100545,103.2923667,100.8350752,92.48715275,97.60288905,91.53434745,99.95423386,100.8051294,96.82348315,99.62839776,96.1927632,94.48275091,100.8558463,100.9424274,94.91170882,97.68930984,93.23540668,100.2439901,101.723728,97.44252992,101.5268433,106.1126624,81.56300618,82.61016364,82.29315818,90.55231951,98.67164857,95.92327544,97.18038912,106.8496253,103.17951,111.9204032,117.1825676,115.4401262,112.8345934,112.8626259,115.9344985,117.8913709,123.0031804,126.1902719,124.4319743,112.8932452,116.092344,117.8297004,116.5013139,126.8940943,122.863647,123.8115317,131.1528012,133.6761571,134.7853007,134.0221123,139.4129724,143.0031234,155.7493907,140.016722,137.4003269,143.7752134,140.1724293,143.3509173,148.020204,141.617815,138.8888462,141.650671,147.9698221,146.6788304,170.4665754,142.5309388,142.8163943
5311,89.25822562,98.07732333,99.67613347,107.1985686,98.78450704,101.7875781,108.3691202,102.5636644,95.15359566,101.6540761,96.02389667,101.4533108,93.98945138,90.87105646,99.20511837,97.07140623,92.69707255,93.24308088,94.24327727,91.06555732,92.70967419,93.91178703,104.4001088,101.1976563,91.91580045,96.45259538,101.1293425,79.83659757,81.32370265,85.83934759,94.37428726,99.16701153,96.30814671,101.9512076,108.5385034,114.9165299,108.6506936,110.4582953,112.2005357,112.559921,118.1384752,126.2459107,120.6937791,127.402377,135.1211747,133.7393443,134.3125365,146.022464,123.5161672,126.1391617,138.2271733,135.5022834,136.4923803,142.5334265,145.2433208,147.7749167,143.9291325,154.418862,163.1531441,172.5872695,153.5552985,146.3039927,140.8894555,143.5662977,152.6533135,156.2624153,150.16411,155.34876,167.4537404,168.1793363,173.1213575,196.8347564,149.6117967,150.4276658
5312,90.91137912,99.7970744,103.5359576,108.5002803,106.1108407,103.8279978,105.9455972,101.6511611,87.71784523,95.03349854,90.26788635,106.7004816,93.22735628,89.8283549,102.264165,96.41009923,96.73732536,99.78282297,96.60548385,92.96721128,97.20507675,92.72188808,103.1878001,99.01505202,93.40546284,99.22355493,106.0945411,81.1687382,87.57282282,88.27721504,98.2024713,110.0883433,106.6977583,111.7254311,126.1579956,106.3584598,105.7758736,115.4960729,119.1177324,119.521834,126.7903394,125.8507621,123.0531619,135.9668426,143.7855177,143.600145,129.3559914,123.1377333,139.0519336,142.5743344,151.4627283,145.554329,147.8236214,158.8623041,159.4157383,151.3084167,162.2351594,167.5886677,172.7306029,191.9504941,155.6143928,157.1621541,168.608457,162.9906374,168.5796599,183.1352579,171.1121423,163.7849145,165.1034191,181.3953362,168.6916011,218.4032267,152.6214443,141.4224045
5313,88.79346275,98.63273882,101.052446,109.2994697,101.7458725,102.0823239,109.9213028,104.3979618,92.58918019,99.66900877,93.37949471,98.43673796,93.22146067,90.86156044,99.4249322,97.9257454,92.45588662,93.06256003,95.0591052,90.52166704,90.0737473,92.45424218,103.2624336,99.45770677,90.16699655,97.27522951,103.5911743,81.629701,82.44663082,89.21395679,98.95127627,103.1499939,98.12527932,105.175377,112.6965759,118.2085064,113.7437888,117.2295182,117.3534096,112.8241668,116.9851305,128.3103738,122.9699372,129.707348,136.3553969,137.912348,116.9076313,131.047509,121.867389,124.6004565,143.254824,138.3813575,132.432703,143.0267531,149.7651353,167.5347054,154.2466846,158.4313863,159.7880119,179.4303713,167.2604552,165.716946,177.1758841,163.4669106,158.7569721,154.7684822,156.1482463,152.9404767,153.860643,153.3401754,156.8443762,172.3892067,187.2139533,202.7344196
5321,105.2058577,94.73319312,95.18089214,100.1670951,102.307573,101.7084442,101.5469779,99.65060443,97.16328463,97.76544012,97.77458978,106.7960478,123.3951289,109.4656724,116.961408,111.7864144,111.1076408,110.3951224,123.1301081,107.8822823,103.0381722,104.6772889,107.9363934,114.9081311,117.9550247,105.9414289,98.75384485,72.44726697,71.05673889,72.61392152,76.05267232,93.62763606,91.95727676,102.5458184,107.9500981,106.8534742,139.1900839,122.1821296,126.708675,129.1785969,131.4041811,129.081619,129.1817763,120.8150402,105.6771168,112.3331655,113.8341297,126.3634202,128.4640112,116.4799391,123.8834831,116.5876381,127.6893041,124.116931,127.8229024,124.0016731,114.3795977,118.0433767,123.8128603,123.6514915,154.8256888,153.5878164,159.7362815,154.4984889,157.2354055,153.353521,142.5725594,145.3639335,135.5788031,140.6531121,145.0641379,157.2377807,158.6282266,175.926025
5324,138.837026,116.7498996,119.0651285,109.1108092,90.46849004,83.30459606,87.02625992,94.27600114,96.09769444,95.89860508,84.38087405,84.78461593,118.6142065,115.7323696,87.17166563,85.48807738,86.41439446,114.2861979,111.1086507,100.7903557,109.3325098,88.85720089,83.83836452,103.2752482,108.300812,113.2125433,117.3485657,88.26710941,80.7012603,65.02931532,70.69932374,75.10744569,75.64831802,54.89496174,63.45972101,67.49377881,110.9279143,124.2645435,104.3974551,93.21888147,69.17631129,67.93221811,94.77225434,89.00704537,84.44863711,71.72951706,57.6186298,52.72935281,64.55482758,51.27774113,54.92042859,55.51624381,56.87417924,60.45816471,61.04830384,61.05365454,60.58255439,63.28202798,60.54898029,63.38477535,61.23401069,53.76550536,56.87643731,62.91053346,65.07891382,66.84064484,63.63596611,59.36757672,63.78013278,65.87014851,70.91354497,63.04996336,59.74905777,54.87941822
54,84.26502696,85.81740857,90.48394417,90.61691122,100.3471088,101.3343798,96.5609495,102.9392187,95.29229353,110.1421469,113.3730836,128.8275282,82.53825136,87.02092569,96.1715548,91.38540711,97.64869939,95.75174574,96.7067989,98.49449715,94.66702245,100.6222071,109.1469173,121.9188116,79.5152383,80.09813706,86.12408412,82.85733344,75.27561875,78.70194619,82.51963779,92.7582972,82.56091553,90.59818578,92.9741759,109.091661,72.19880278,75.2962074,81.94353424,79.0945421,83.36967955,86.23675488,86.29515434,90.9622236,87.67486192,85.36252019,89.95999309,113.2247151,61.9573324,67.97997089,80.38653605,75.65436298,81.00839188,80.61735305,83.18268089,88.58745629,82.16429931,92.32136181,103.1043256,117.4777973,75.7906555,79.50634447,89.5611139,81.48080341,91.08685722,95.45166951,91.28963276,96.72061735,87.07158442,95.52845169,101.8266096,128.5513162,80.1273264,88.13024238
